"type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"white",7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
"white",6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9
"white",9.8,0.36,0.46,10.5,NA,4,83,0.9956,2.89,0.3,10.1
"white",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
"white",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
"white",6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4
"white",7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9
"white",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
"white",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
"white",6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3
"white",7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9
"white",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
"white",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
"white",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
"white",5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7
"white",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
"white",7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2
"white",5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2
"white",7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8
"white",7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7
"white",7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5
"white",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6
"white",6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9
"white",6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2
"white",6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9
"white",6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6
"white",7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
"white",6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2
"white",7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
"white",6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9
"white",7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4
"white",6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1
"white",6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6
"white",6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5
"white",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8
"white",7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3
"white",9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10
"white",7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4
"white",NA,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2
"white",7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6
"white",5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4
"white",6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7
"white",7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2
"white",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
"white",6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3
"white",6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3
"white",5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11
"white",6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9
"white",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
"white",6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6
"white",6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1
"white",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1
"white",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
"white",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
"white",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
"white",6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3
"white",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
"white",6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6
"white",5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2
"white",6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8
"white",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
"white",10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9
"white",6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2
"white",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5
"white",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
"white",5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
"white",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
"white",5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
"white",5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4
"white",7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11
"white",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
"white",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
"white",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
"white",6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9
"white",7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7
"white",7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4
"white",6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
"white",NA,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10
"white",5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10
"white",8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8
"white",6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
"white",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7
"white",5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4
"white",6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
"white",6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2
"white",6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
"white",NA,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7
"white",5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7
"white",5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3
"white",6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9
"white",7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5
"white",7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6
"white",6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6
"white",6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5
"white",6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3
"white",7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8
"white",7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8
"white",7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1
"white",9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5
"white",8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4
"white",7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9
"white",5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10
"white",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
"white",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
"white",8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4
"white",7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5
"white",7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4
"white",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6
"white",6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8
"white",5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8
"white",5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4
"white",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10
"white",7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10
"white",7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9
"white",7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6
"white",6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10
"white",6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1
"white",6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6
"white",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
"white",6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
"white",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
"white",5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4
"white",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
"white",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2
"white",7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7
"white",6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
"white",6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4
"white",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
"white",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5
"white",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5
"white",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9
"white",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4
"white",7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1
"white",7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3
"white",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4
"white",6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8
"white",7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2
"white",6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8
"white",6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2
"white",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5
"white",5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4
"white",7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1
"white",6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1
"white",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5
"white",6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5
"white",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5
"white",7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3
"white",5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5
"white",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7
"white",6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9
"white",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7
"white",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6
"white",6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10
"white",7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5
"white",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
"white",5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5
"white",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
"white",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6
"white",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
"white",5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10
"white",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
"white",6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9
"white",7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8
"white",6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1
"white",7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7
"white",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8
"white",7.9,NA,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8
"white",5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4
"white",7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5
"white",6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3
"white",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1
"white",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1
"white",6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4
"white",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4
"white",7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7
"white",7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7
"white",8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4
"white",5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5
"white",5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1
"white",6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1
"white",6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8
"white",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7
"white",6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8
"white",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7
"white",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4
"white",7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1
"white",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
"white",6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8
"white",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8
"white",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
"white",6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8
"white",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8
"white",7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6
"white",7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6
"white",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5
"white",7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8
"white",7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7
"white",7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7
"white",7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8
"white",6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9
"white",6.5,NA,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9
"white",7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4
"white",6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3
"white",7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1
"white",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8
"white",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8
"white",6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5
"white",7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2
"white",5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3
"white",5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3
"white",6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9
"white",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5
"white",6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5
"white",6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9
"white",6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5
"white",6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10
"white",7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2
"white",6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3
"white",6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10
"white",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4
"white",7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2
"white",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4
"white",7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5
"white",6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3
"white",6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4
"white",6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10
"white",6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7
"white",6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4
"white",8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2
"white",6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9
"white",6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9
"white",6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1
"white",6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8
"white",5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8
"white",6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5
"white",7.5,0.31,0.51,14.8,0.039,62,204,0.9982,NA,0.6,9.5
"white",7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5
"white",7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4
"white",8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7
"white",6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1
"white",8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9
"white",6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10
"white",6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2
"white",6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5
"white",6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10
"white",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1
"white",6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9
"white",6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4
"white",6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2
"white",7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4
"white",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5
"white",6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4
"white",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2
"white",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2
"white",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
"white",5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4
"white",7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10
"white",5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1
"white",5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5
"white",6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7
"white",6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2
"white",6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4
"white",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9
"white",6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2
"white",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9
"white",6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10
"white",7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3
"white",7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9
"white",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3
"white",6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3
"white",6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6
"white",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3
"white",6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9
"white",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7
"white",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
"white",6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9
"white",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
"white",6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4
"white",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7
"white",7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5
"white",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3
"white",9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8
"white",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4
"white",7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6
"white",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4
"white",8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4
"white",6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4
"white",4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9
"white",6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4
"white",7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6
"white",10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6
"white",7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1
"white",5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4
"white",6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9
"white",8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1
